,rolling_1yr_return,rolling_1yr_volatility,rolling_30d_volatility,latest_close_price,avg_30d_volume
ALB,1.1500072948382019,0.5099202234772812,0.410770392658474,178.08999633789062,2150730.0
J,-0.10113834053750947,0.25900077594079296,0.17821700256953324,128.02000427246094,909993.3333333334
KHC,-0.16715361090130543,0.21170457711360371,0.2503238415642033,22.790000915527344,16360466.666666666
WBD,1.0252038664460041,0.4478178149531782,0.1007486272487323,27.31999969482422,28606880.0
MELI,-0.27387241933127116,0.3341950057824118,0.34033123107647695,1715.52001953125,643733.3333333334
DDOG,-0.19674316903386324,0.4804968889297528,0.44168849340855065,120.36000061035156,4983880.0
ALNY,-0.0302910237797841,0.3249572812488705,0.3146319674911718,318.8500061035156,1123216.6666666667
PHM,0.01396385198802319,0.26109544507678106,0.25389808882065396,117.29000091552734,1785576.6666666667
ACN,-0.28896342514258333,0.2883362382774607,0.27816519847044874,201.3300018310547,8151190.0
ARES,-0.4353278930260579,0.3542420682239305,0.44290214582665943,102.43000030517578,4440490.0
KMI,0.2421484257975568,0.16303364826420746,0.1656409415141975,32.970001220703125,14095916.666666666
JNJ,0.47170610652179623,0.12671189385558498,0.12768252376520423,243.0399932861328,8177410.0
LVS,0.05148929005435088,0.30279779188254236,0.23344663978618155,54.34000015258789,3968636.6666666665
STX,1.86696732332872,0.5760691020084007,0.6480819950203327,429.3599853515625,3533286.6666666665
DE,0.12376716832370627,0.2463470177776975,0.20940238919791931,575.7100219726562,1487663.3333333333
KKR,-0.3976322897369937,0.31626669134079,0.30082624793888474,91.2300033569336,8878426.666666666
PSA,0.005339846996760045,0.1907112601502537,0.21847506498985944,280.3500061035156,1279466.6666666667
CTSH,-0.17289586334065699,0.2568096266571836,0.21775058640743303,62.540000915527344,6807786.666666667
VGT,0.03811404883361669,0.17635219402330388,0.2331881589781083,712.6500244140625,531036.6666666666
IVZ,0.13671447857068508,0.25964637590018863,0.2907623130295058,24.139999389648438,4939886.666666667
PODD,-0.2960168262034343,0.28242670816775634,0.29870104250873436,204.30999755859375,1025906.6666666666
BK,0.22152205559222993,0.17277029551540304,0.16202088367457745,122.12999725341797,3580550.0
TKO,0.21212851510611297,0.27451441730085324,0.3082753261816571,203.75999450683594,1427956.6666666667
ZS,-0.5158376618598783,0.3772059932013293,0.38413609165572815,138.55999755859375,3274893.3333333335
UBER,-0.21305733796228388,0.2684693492158039,0.29713427448302115,71.83999633789062,18221203.333333332
LNT,0.14838817142486027,0.12207084015207399,0.1547088252050966,72.8499984741211,2644510.0
NXPI,-0.11622305786126463,0.30916737974862474,0.28465677309447474,194.5500030517578,2675900.0
EG,-0.022940835425452222,0.1994819857722426,0.149639815041249,327.0899963378906,346620.0
MDT,-0.04619188812185071,0.1618467594477121,0.16349880008693402,86.62999725341797,8024746.666666667
SW,-0.18050914926062622,0.3457345135284715,0.4075275989795995,39.290000915527344,6113700.0
CPRT,-0.2846433388675994,0.20707699442198768,0.22760769101865447,33.400001525878906,9942693.333333334
SCHW,-0.02513950151690625,0.19154654035229474,0.14890002775449068,93.7699966430664,9248496.666666666
GWW,0.06724140222543107,0.21765431523709292,0.18554307814138815,1117.449951171875,251466.66666666666
AMD,0.30654170964798744,0.529561355447992,0.4773567123392545,217.5,36231266.666666664
CVX,0.3266722129089621,0.17361945975653115,0.2286824134893376,198.97000122070312,14038953.333333334
JBHT,0.45054795889046684,0.3343008375858154,0.3044679804421349,214.91000366210938,916140.0
HSIC,0.03470477733986521,0.23958437083148537,0.20141021732571013,73.94000244140625,1492120.0
D,0.1045523337950296,0.14980425394316735,0.1375352969046241,62.77000045776367,5186226.666666667
LII,-0.30643346979356656,0.286054278470348,0.37765075480053434,454.6400146484375,438980.0
NDAQ,-0.07811754755360889,0.20441049012687046,0.20074267131181184,86.6500015258789,3628740.0
BAX,-0.4245662445804219,0.42243674735525555,0.38807512737852423,16.68000030517578,10046763.333333334
TSN,0.22952756014082865,0.19173463082853826,0.21890018369764228,64.62999725341797,3238626.6666666665
MRNA,0.4407027398126364,0.5685159685477541,0.6626644033937586,49.20000076293945,8426446.666666666
ALL,0.07353209146884176,0.1957428851954167,0.15837579727732218,207.02999877929688,1441306.6666666667
ARE,-0.4492100254260445,0.3641646580660902,0.347127942326028,43.22999954223633,2538230.0
DPZ,-0.22631549758627711,0.20592880758049675,0.26962126173233564,370.82000732421875,1094573.3333333333
KDP,-0.2192070629841515,0.24626467368146993,0.18423268785472077,25.309999465942383,10912280.0
NFLX,-0.16424535021478492,0.28392596865994363,0.22180238983677047,98.66000366210938,49188980.0
EQT,0.15404846547289108,0.263658622033845,0.26841015855878425,59.70000076293945,9326936.666666666
TRV,0.13933638773843104,0.14605612429662615,0.1455003643493695,293.989990234375,1477843.3333333333
BMY,0.2753149967512645,0.2260304456710537,0.20544444314025273,59.599998474121094,13801193.333333334
AFL,0.08595848158161634,0.1412140520749378,0.12532958983692913,110.4800033569336,2443216.6666666665
HII,0.516439080226408,0.2933139469561912,0.2956608921845132,396.6199951171875,491653.3333333333
WST,-0.03059556706297606,0.27871897713035865,0.2609526170722837,254.8000030517578,873306.6666666666
WYNN,-0.061592715084012095,0.30001968477829244,0.2894386483528107,102.02999877929688,1917716.6666666667
SNDK,15.515772938224803,0.8969975642162812,0.8825975936828142,701.5900268554688,19241473.333333332
COF,-0.1364366483832401,0.27000451944223464,0.22198556407898407,181.9199981689453,5557520.0
NCLH,-0.20528964955070805,0.4486940887013673,0.5001065518237284,18.93000030517578,22736496.666666668
PEP,0.12601590918516825,0.1708043496789438,0.1594678586935767,157.00999450683594,6590250.0
EBAY,0.16769121387717556,0.3486238041535437,0.21879474806807117,94.13999938964844,5216416.666666667
PTC,-0.3024791074857901,0.2276810411025825,0.22177535693814474,142.64999389648438,1088006.6666666667
SYK,-0.1722453616487276,0.1751486899568079,0.22281485324613393,331.5400085449219,2060336.6666666667
EXC,0.15102803388935881,0.15148451412217626,0.17480795778646702,49.33000183105469,9005263.333333334
CB,0.22347850947080738,0.14243744517246829,0.13597279709007157,328.3299865722656,1767666.6666666667
BF-B,-0.11427250049529158,0.2939894626374821,0.47245855672833575,26.75,7343630.0
HUBB,0.12694244436866042,0.24013700711399047,0.3185623728719362,494.25,512381.4666666667
INTC,1.4338163870174245,0.5758827915931417,0.6229096412674334,50.380001068115234,86759003.33333333
PSX,0.4478425099867429,0.23979977391665822,0.28994380312297485,176.2100067138672,3700973.3333333335
CPT,-0.08479395067145623,0.16416886075252388,0.16154213191230252,100.76000213623047,1112576.6666666667
CF,0.4171326407817484,0.33428427702882635,0.6476336125692611,129.97000122070312,6163740.0
BALL,0.02734115211145771,0.21802335474840143,0.22875615595510285,59.970001220703125,2147936.6666666665
CPB,-0.295202843624358,0.25374322021983836,0.3510269269482818,22.010000228881836,10180256.666666666
KR,0.02815732758387024,0.22012023821145238,0.2869063796754433,72.3499984741211,7097773.333333333
RTX,0.2653633997906939,0.1941490156656929,0.2037162699001631,196.2100067138672,6220290.0
V,-0.1526195629522491,0.17105676347695,0.16443669503978706,300.79998779296875,7756440.0
ASML,0.8624380229977029,0.3302182506194492,0.42816935258789934,1317.22998046875,1650986.6666666667
PNW,0.1641310390227213,0.13204092888747654,0.14288749943229553,102.69999694824219,1374253.3333333333
FANG,0.36778550018967526,0.2454365362461591,0.24018488821314427,193.8800048828125,3891990.0
AVB,-0.1523229944397595,0.17160784006831895,0.16201672240055057,166.02000427246094,1067893.3333333333
HIG,0.11808888290927788,0.14806377410967864,0.16196336844939144,136.19000244140625,1590243.3333333333
CMG,-0.2908468554811352,0.31800484417984015,0.3378538091558407,33.15999984741211,15900520.0
SO,0.0467602221861636,0.13153219946504197,0.14086640305296372,97.44999694824219,5746133.333333333
LHX,0.3380549593877531,0.21141733494448325,0.22478947630474033,356.0,1448210.0
BRO,-0.35824189628197156,0.23952103517286014,0.2464841600299223,65.94999694824219,3382590.0
SOLV,-0.14956522147392348,0.23171288382320007,0.21781956351107773,63.56999969482422,1437946.6666666667
AMGN,0.1602588995973342,0.23273677060342474,0.17919255361080472,347.94000244140625,2689363.3333333335
SGOV,0.027195926912151114,0.001969901469487079,0.00212605491797192,100.43000030517578,19527330.0
VRT,0.9024036036112102,0.5073129403783962,0.5671662281478606,261.2900085449219,9662933.333333334
GEHC,-0.0923323375901216,0.2527203035369167,0.29757503471968083,70.3499984741211,3638850.0
HAL,0.7323000164555791,0.30302989311733664,0.30167121325247537,38.16999816894531,16987803.333333332
MCK,0.24595892321199453,0.26027882767117233,0.21682774792396156,884.280029296875,758140.0
APD,0.0009105859913769443,0.2269117810015759,0.19559604255411425,293.54998779296875,1504720.0
HST,0.2054601132366134,0.20812094144637958,0.2464769996763025,19.139999389648438,9384056.666666666
YUM,0.07918742504407672,0.185517005140389,0.16776402644605534,156.08999633789062,1795353.3333333333
IFF,-0.03703299846631991,0.23884622666970823,0.30230717858195916,72.43000030517578,1779840.0
RF,0.03215384748113426,0.2055579881634475,0.19575821990100342,26.469999313354492,15435190.0
DGX,0.18545142138371684,0.18111664121206741,0.12970557457709136,198.02000427246094,824780.0
FCX,0.3756660037585786,0.3978838415234073,0.49170962597976764,61.380001068115234,18937776.666666668
HD,-0.1268630904068433,0.19119817059843058,0.21897083207637322,321.6300048828125,4333026.666666667
MCO,-0.1355511494648084,0.23162078782234152,0.21930736917940166,440.7900085449219,1413933.3333333333
KMB,-0.2191055736804336,0.21908188508358126,0.1576357203045307,96.12999725341797,4985376.666666667
ACGL,0.08831137954800417,0.16441439755223883,0.1527082594725274,96.73999786376953,1791410.0
HCA,0.41807640409370794,0.21412936287214165,0.15851241902283453,471.8399963378906,1106220.0
STT,0.16410386116429465,0.2036546047014919,0.2219456999789706,128.8000030517578,2135503.3333333335
TJX,0.28700346153892986,0.1374859994288789,0.15482786535529305,161.2899932861328,4855443.333333333
NWSA,-0.16743883494008283,0.21488879146605228,0.17518761878197095,24.399999618530273,4952803.333333333
TFC,0.06857548807027669,0.19193100067509036,0.2203844428198873,47.15999984741211,9744950.0
VOO,0.038867513788718444,0.10270655325405235,0.15437360600272723,602.989990234375,13047680.0
PYPL,-0.4154602617443188,0.34799197208810145,0.27709399578488925,45.34000015258789,23223833.333333332
GNRC,0.23655700838309834,0.45355817004268983,0.3832652682289393,194.08999633789062,1057713.3333333333
MLM,0.0235400046070926,0.20474324947627137,0.25141447242643317,597.1799926757812,586140.0
ON,0.09258609675498741,0.41293667435509895,0.501043972643086,62.189998626708984,7342783.333333333
WFC,-0.02869649219635584,0.2194289663765663,0.23073237416569825,80.5999984741211,18780870.0
CDW,-0.3174621608169441,0.2628962522632973,0.21885902106939428,122.01000213623047,1654560.0
MAS,-0.11529315579165067,0.2495232121211248,0.2665214885125537,59.119998931884766,2498126.6666666665
LUV,0.14844537843030947,0.3686196909813301,0.4573927995837303,37.599998474121094,9706086.666666666
SYF,-0.049643396884045066,0.2504140759245789,0.19886295027332734,68.41999816894531,4140860.0
