Date,VOO,QQQ,VTI,VXUS,VGT,ARKK,VNQ,VWO,AAPL,NVDA,BND,SGOV,TLT,TIPS
2016-04-14,161.37689208984375,103.34199523925781,90.1461181640625,33.85424041748047,100.501708984375,18.470487594604492,55.66085433959961,26.384824752807617,25.388458251953125,0.9018475413322449,61.888648986816406,,99.2877426147461,0.0010000000474974513
2016-04-15,161.1992645263672,103.08111572265625,90.10362243652344,33.772979736328125,99.99966430664062,18.23984146118164,56.07783889770508,26.227954864501953,24.878881454467773,0.9089469313621521,62.03054428100586,,100.13815307617188,0.0010000000474974513
2016-04-16,161.1992645263672,103.08111572265625,90.10362243652344,33.772979736328125,99.99966430664062,18.23984146118164,56.07783889770508,26.227954864501953,24.878881454467773,0.9089469313621521,62.03054428100586,,100.13815307617188,0.0010000000474974513
2016-04-17,161.1992645263672,103.08111572265625,90.10362243652344,33.772979736328125,99.99966430664062,18.23984146118164,56.07783889770508,26.227954864501953,24.878881454467773,0.9089469313621521,62.03054428100586,,100.13815307617188,0.0010000000474974513
2016-04-18,162.36660766601562,103.6308364868164,90.70680236816406,34.03152084350586,100.51084899902344,18.28227996826172,56.34687423706055,26.317596435546875,24.342121124267578,0.9050301313400269,62.00812530517578,,99.705322265625,0.0010000000474974513
2016-04-19,162.85720825195312,102.99724578857422,90.96170043945312,34.652034759521484,99.89013671875,17.892942428588867,56.3737678527832,26.720983505249023,24.21302604675293,0.8888731598854065,62.045406341552734,,99.3940200805664,0.0010000000474974513
2016-04-20,162.99256896972656,103.08111572265625,91.05513000488281,34.578147888183594,100.1365966796875,18.050708770751953,55.41874313354492,26.549169540405273,24.262847900390625,0.8923003077507019,61.87372589111328,,98.3006591796875,0.0010000000474974513
2016-04-21,162.08746337890625,103.09049224853516,90.60488891601562,34.356544494628906,100.06356048583984,18.227846145629883,54.43008041381836,26.257831573486328,24.000133514404297,0.8913211822509766,61.79903030395508,,97.71598815917969,0.0010000000474974513
2016-04-22,162.12974548339844,101.53456115722656,90.7323226928711,34.33438491821289,98.5665283203125,18.18448257446289,55.02194595336914,26.160722732543945,23.934457778930664,0.8878941535949707,61.77663040161133,,97.46536254882812,0.0010000000474974513
2016-04-23,162.12974548339844,101.53456115722656,90.7323226928711,34.33438491821289,98.5665283203125,18.18448257446289,55.02194595336914,26.160722732543945,23.934457778930664,0.8878941535949707,61.77663040161133,,97.46536254882812,0.0010000000474974513
2016-04-24,162.12974548339844,101.53456115722656,90.7323226928711,34.33438491821289,98.5665283203125,18.18448257446289,55.02194595336914,26.160722732543945,23.934457778930664,0.8878941535949707,61.77663040161133,,97.46536254882812,0.0010000000474974513
2016-04-25,161.8675079345703,101.53456115722656,90.51142120361328,34.16448974609375,98.37480926513672,18.101451873779297,55.47926330566406,25.951549530029297,23.798566818237305,0.8923003077507019,61.70196533203125,,97.06293487548828,0.0010000000474974513
2016-04-26,162.10440063476562,101.04075622558594,90.75780487060547,34.30484390258789,98.2013931274414,18.056241989135742,55.694488525390625,26.257831573486328,23.63323211669922,0.893034815788269,61.612335205078125,,96.62250518798828,0.0010000000474974513
2016-04-27,162.44271850585938,100.23019409179688,90.97869873046875,34.408260345458984,97.48941040039062,17.96306037902832,55.66085433959961,26.414703369140625,22.154321670532227,0.9133533239364624,61.79903030395508,,97.58692932128906,0.0010000000474974513
2016-04-28,160.979248046875,99.01902770996094,90.1631088256836,34.009361267089844,96.18406677246094,18.07838249206543,55.54652404785156,26.145780563354492,21.477142333984375,0.8861804604530334,61.9110107421875,,97.98929595947266,0.0010000000474974513
2016-04-29,160.06565856933594,98.49726867675781,89.63640594482422,33.8985595703125,95.30775451660156,17.41872215270996,55.03538131713867,26.09349250793457,21.23027992248535,0.8697786331176758,61.95585632324219,,98.23991394042969,0.0010000000474974513
2016-04-30,160.06565856933594,98.49726867675781,89.63640594482422,33.8985595703125,95.30775451660156,17.41872215270996,55.03538131713867,26.09349250793457,21.23027992248535,0.8697786331176758,61.95585632324219,,98.23991394042969,0.0010000000474974513
